layer_idx,head_idx,best_accuracy,best_epoch,timestamp
0,0,0.54,12,2025-09-12 03:48:08
0,1,0.5975,1,2025-09-12 03:48:08
0,2,0.7625,16,2025-09-12 03:48:08
0,3,0.6,2,2025-09-12 03:48:08
0,4,0.6875,18,2025-09-12 03:48:08
0,5,0.7475,14,2025-09-12 03:48:08
0,6,0.6075,14,2025-09-12 03:48:08
0,7,0.7275,11,2025-09-12 03:48:08
0,8,0.6725,3,2025-09-12 03:48:08
0,9,0.7125,14,2025-09-12 03:48:08
0,10,0.6175,1,2025-09-12 03:48:08
0,11,0.7325,12,2025-09-12 03:48:08
1,0,0.755,9,2025-09-12 03:48:08
1,1,0.7125,13,2025-09-12 03:48:08
1,2,0.7575,7,2025-09-12 03:48:08
1,3,0.755,16,2025-09-12 03:48:08
1,4,0.725,17,2025-09-12 03:48:08
1,5,0.65,1,2025-09-12 03:48:08
1,6,0.7025,2,2025-09-12 03:48:08
1,7,0.755,8,2025-09-12 03:48:08
1,8,0.71,11,2025-09-12 03:48:08
1,9,0.74,10,2025-09-12 03:48:08
1,10,0.7475,14,2025-09-12 03:48:08
1,11,0.735,15,2025-09-12 03:48:08
2,0,0.745,19,2025-09-12 03:48:08
2,1,0.7675,7,2025-09-12 03:48:08
2,2,0.7625,15,2025-09-12 03:48:08
2,3,0.78,17,2025-09-12 03:48:08
2,4,0.74,4,2025-09-12 03:48:08
2,5,0.765,17,2025-09-12 03:48:08
2,6,0.7625,18,2025-09-12 03:48:08
2,7,0.74,13,2025-09-12 03:48:08
2,8,0.76,18,2025-09-12 03:48:08
2,9,0.7425,17,2025-09-12 03:48:08
2,10,0.7475,13,2025-09-12 03:48:08
2,11,0.7475,7,2025-09-12 03:48:08
3,0,0.7075,11,2025-09-12 03:48:08
3,1,0.655,16,2025-09-12 03:48:08
3,2,0.71,8,2025-09-12 03:48:08
3,3,0.7075,14,2025-09-12 03:48:08
3,4,0.6575,16,2025-09-12 03:48:08
3,5,0.7125,13,2025-09-12 03:48:08
3,6,0.7675,12,2025-09-12 03:48:08
3,7,0.835,10,2025-09-12 03:48:08
3,8,0.7625,13,2025-09-12 03:48:08
3,9,0.7625,16,2025-09-12 03:48:08
3,10,0.815,9,2025-09-12 03:48:08
3,11,0.77,12,2025-09-12 03:48:08
4,0,0.795,17,2025-09-12 03:48:08
4,1,0.7625,13,2025-09-12 03:48:08
4,2,0.755,17,2025-09-12 03:48:08
4,3,0.795,13,2025-09-12 03:48:08
4,4,0.7525,10,2025-09-12 03:48:08
4,5,0.7675,9,2025-09-12 03:48:08
4,6,0.7475,7,2025-09-12 03:48:08
4,7,0.7275,13,2025-09-12 03:48:08
4,8,0.775,14,2025-09-12 03:48:08
4,9,0.7625,8,2025-09-12 03:48:08
4,10,0.8175,8,2025-09-12 03:48:08
4,11,0.745,12,2025-09-12 03:48:08
5,0,0.7575,13,2025-09-12 03:48:08
5,1,0.775,12,2025-09-12 03:48:08
5,2,0.7775,11,2025-09-12 03:48:08
5,3,0.7875,7,2025-09-12 03:48:08
5,4,0.735,16,2025-09-12 03:48:08
5,5,0.78,10,2025-09-12 03:48:08
5,6,0.78,16,2025-09-12 03:48:08
5,7,0.8325,7,2025-09-12 03:48:08
5,8,0.7825,16,2025-09-12 03:48:08
5,9,0.7775,6,2025-09-12 03:48:08
5,10,0.715,8,2025-09-12 03:48:08
5,11,0.6925,15,2025-09-12 03:48:08
6,0,0.775,14,2025-09-12 03:48:08
6,1,0.7525,14,2025-09-12 03:48:08
6,2,0.7325,14,2025-09-12 03:48:08
6,3,0.7675,6,2025-09-12 03:48:08
6,4,0.7725,12,2025-09-12 03:48:08
6,5,0.7875,17,2025-09-12 03:48:08
6,6,0.7675,12,2025-09-12 03:48:08
6,7,0.685,3,2025-09-12 03:48:08
6,8,0.785,11,2025-09-12 03:48:08
6,9,0.725,15,2025-09-12 03:48:08
6,10,0.7425,9,2025-09-12 03:48:08
6,11,0.77,11,2025-09-12 03:48:08
7,0,0.79,11,2025-09-12 03:48:08
7,1,0.755,15,2025-09-12 03:48:08
7,2,0.7875,15,2025-09-12 03:48:08
7,3,0.7925,12,2025-09-12 03:48:08
7,4,0.8,7,2025-09-12 03:48:08
7,5,0.7775,10,2025-09-12 03:48:08
7,6,0.77,11,2025-09-12 03:48:08
7,7,0.765,10,2025-09-12 03:48:08
7,8,0.7375,13,2025-09-12 03:48:08
7,9,0.8,17,2025-09-12 03:48:08
7,10,0.7225,11,2025-09-12 03:48:08
7,11,0.77,10,2025-09-12 03:48:08
8,0,0.765,8,2025-09-12 03:48:08
8,1,0.8175,13,2025-09-12 03:48:08
8,2,0.7725,13,2025-09-12 03:48:08
8,3,0.7675,11,2025-09-12 03:48:08
8,4,0.7625,12,2025-09-12 03:48:08
8,5,0.7675,5,2025-09-12 03:48:08
8,6,0.7725,3,2025-09-12 03:48:08
8,7,0.75,10,2025-09-12 03:48:08
8,8,0.7725,13,2025-09-12 03:48:08
8,9,0.765,5,2025-09-12 03:48:08
8,10,0.745,16,2025-09-12 03:48:08
8,11,0.77,10,2025-09-12 03:48:08
9,0,0.7775,3,2025-09-12 03:48:08
